Run,Game 1,Game 1: W or L,Game 2,Game 2: W or L,Game 3,Game 3: W or L,Game 4,Game 4: W or L,Game 5,Game 5: W or L,Game 6,Game 6: W or L,Game 7,Game 7: W or L,Game 8,Game 8: W or L,Game 9,Game 9: W or L,Game 10,Game 10: W or L,Day,Notes
80,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
81,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
82,Bughouse,W,Brawlhalla,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
83,Bughouse,W,Brawlhalla,W,Mario Kart,W,Halo,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
84,Bughouse,W,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
85,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
86,Brawlhalla,W,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
87,Bughouse,W,Geoguessr,W,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
88,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
89,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
90,Brawlhalla,W,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
91,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
92,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
93,Bughouse,W,Geoguessr,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
94,Mario Kart,W,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
95,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
96,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,W,League of Legends,W,Overwatch,L,NA,NA,NA,NA,NA,NA,4,
97,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
98,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,run 98 and 99 combined in VOD
99,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,run 98 and 99 combined in VOD
100,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
101,Bughouse,W,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
102,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,start of multiplay day 4 (aka lose city)
103,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
104,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
105,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
106,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
107,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,end of multiplay day 4
108,Geoguessr,W,Bughouse,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
109,Mario Kart,W,Bughouse,W,Geoguessr,W,Fall Guys,W,Halo,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
110,Bughouse,W,Brawlhalla,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
111,Bughouse,W,Brawlhalla,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
112,Mario Kart,W,Bughouse,W,Brawlhalla,W,Halo,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
113,Halo,W,Bughouse,W,Geoguessr,W,Mario Kart,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,clip farm moment
114,Bughouse,W,Brawlhalla,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
115,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
116,Mario Kart,W,Bughouse,W,Brawlhalla,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
117,Brawlhalla,W,Mario Kart,W,League of Legends,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,vod part 2 starts here/halo cheating scandal
118,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
119,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,counter at the end went back to 118
120,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
121,Bughouse,W,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
122,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
123,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
124,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
125,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,W,League of Legends,L,NA,NA,NA,NA,NA,NA,NA,NA,5,
126,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
127,Bughouse,W,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
128,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
129,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
130,Bughouse,W,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
131,Brawlhalla,W,Bughouse,W,Mario Kart,W,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
132,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
133,Brawlhalla,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
134,Brawlhalla,W,Bughouse,W,Mario Kart,W,Halo,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
135,League of Legends,W,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
136,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,
137,Bughouse,W,Geoguessr,W,Mario Kart,W,Halo,W,Fall Guys,W,Overwatch,W,League of Legends,L,NA,NA,NA,NA,NA,NA,5,stil 2 ahead of tim
138,Bughouse,W,Geoguessr,W,Mario Kart,L,Halo,W,Fall Guys,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
139,Bughouse,W,Geoguessr,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
140,Mario Kart,W,Bughouse,W,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
141,Geoguessr,W,Bughouse,W,Mario Kart,W,Halo,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
142,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
143,Bughouse,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
144,Bughouse,W,Geoguessr,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
145,Mario Kart,W,Bughouse,W,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
146,Geoguessr,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
147,Bughouse,W,Geoguessr,W,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
148,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
149,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
150,Mario Kart,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,
